Axial Force,Axial Displacement
N,mm
14.338642,-0.024551153
13.868697,-0.075048208
14.065858,-0.12538135
13.918243,-0.17614067
14.853477,-0.22501349
14.220923,-0.27683973
15.595835,-0.32677054
13.963506,-0.37720799
15.976001,-0.42535961
15.03732,-0.47684014
13.895799,-0.52489936
13.217889,-0.5771488
13.020076,-0.62634051
14.320109,-0.67670643
15.053526,-0.72636902
14.001225,-0.77653825
13.770442,-0.82557499
13.444293,-0.87820292
14.148653,-0.92921853
14.914945,-0.97701848
14.468189,-1.024887
14.118851,-1.0765404
13.319962,-1.1258453
14.441647,-1.1752337
14.773197,-1.2269586
14.842022,-1.2752712
14.591311,-1.3255328
13.693794,-1.3777524
12.669806,-1.4283776
11.589191,-1.4762163
12.14454,-1.5256107
10.380335,-1.5754104
9.5806084,-1.626575
9.3393955,-1.6774386
7.9576859,-1.7266154
8.9913607,-1.7757237
6.9382601,-1.8251836
6.6846609,-1.8770188
5.155057,-1.9251853
5.8448873,-1.9745737
5.9021635,-2.0245762
5.0642529,-2.0771623
4.3675303,-2.1256952
3.6547892,-2.1767139
1.4713035,-2.2258849
2.6443043,-2.2741735
2.579391,-2.3269296
2.5654211,-2.3745923
1.040753,-2.425632
0.63711774,-2.4753749
1.0440125,-2.5241792
-0.31162053,-2.575624
-0.85383654,-2.6244164
-2.3247674,-2.6732504
-2.3781321,-2.724731
-2.7417204,-2.7755589
-3.0295923,-2.8258562
-3.1290576,-2.8739035
-4.0177255,-2.9231846
-3.8373284,-2.9731095
-3.6295505,-3.0201733
-4.4822693,-3.0745089
-6.4922495,-3.1235247
-6.3592567,-3.1737447
-6.4368358,-3.2231836
-8.0420637,-3.2731116
-8.1531706,-3.3220916
-8.7965279,-3.373313
-7.2944908,-3.4222245
-8.6844902,-3.4738183
-9.5952301,-3.5218775
-10.094699,-3.5724549
-7.8577547,-3.6220551
-9.8410997,-3.6708684
-9.5964413,-3.7222624
-11.509471,-3.7733376
-10.741781,-3.8222222
-11.755247,-3.8702579
-12.702774,-3.9215744
-13.090112,-3.9707541
-12.374577,-4.0198507
-13.387017,-4.0724783
-13.585575,-4.1212378
-12.994837,-4.1713147
-13.13379,-4.2206259
-13.488438,-4.2713075
-14.479737,-4.319325
-15.31383,-4.3690443
-15.294738,-4.4189243
-15.840773,-4.4690938
-16.304293,-4.5194387
-16.244221,-4.571578
-16.811676,-4.618278
-16.578007,-4.6690254
-18.750784,-4.7183752
-17.80633,-4.768455
-17.491915,-4.8188062
-18.956419,-4.8670678
-18.284657,-4.9185395
-20.241924,-4.9675555
-19.750278,-5.0104828
-16.625599,-4.9617887
-16.88106,-4.9113092
-16.563385,-4.8607559
-13.985206,-4.8097105
-13.791118,-4.7603874
-13.311394,-4.7092438
-11.644699,-4.6593876
-11.889915,-4.6083479
-10.952074,-4.5584383
-9.8155813,-4.5078697
-9.1353436,-4.455966
-8.2555227,-4.40661
-7.7486968,-4.3566914
-7.2257595,-4.3057442
-7.1004033,-4.2550802
-5.4475851,-4.2044134
-5.1127748,-4.155159
-4.9522147,-4.1052999
-4.2852015,-4.0545673
-3.8315542,-4.0053458
-3.1464734,-3.9536266
-1.4489517,-3.9049566
-3.3096411,-3.8547218
-1.224596,-3.8044155
-1.1146069,-3.7537634
0.28880313,-3.7033319
0.096298754,-3.655231
0.99856406,-3.603652
1.9770116,-3.5544844
0.77933073,-3.5026817
1.5935861,-3.4537256
1.9643456,-3.4032493
3.1466596,-3.3521085
4.6451578,-3.3007951
3.7345104,-3.2526612
5.4100528,-3.2039106
5.4981561,-3.1533809
5.4833479,-3.1018138
8.4788542,-3.0528426
6.2471256,-3.002733
6.414391,-2.952826
8.367281,-2.9023588
8.694828,-2.8531818
9.60324,-2.8017254
8.2745218,-2.7512312
9.3962994,-2.7035236
9.5410271,-2.6516438
10.223873,-2.6022851
11.365209,-2.5531352
10.353792,-2.503684
11.936203,-2.4519026
11.829287,-2.4024487
12.537464,-2.3507209
12.7431,-2.3031592
12.554228,-2.2538157
13.597496,-2.2030859
12.99344,-2.1519213
14.075637,-2.1018596
15.501212,-2.0535529
14.930498,-2.0019114
15.428756,-1.952666
13.875775,-1.9029647
15.415624,-1.8533856
14.52677,-1.8027693
15.027076,-1.751709
15.093759,-1.7026961
16.115606,-1.6515315
14.245604,-1.6027033
14.986097,-1.5539974
15.033689,-1.5021443
15.662518,-1.4532238
14.360901,-1.4026552
14.178921,-1.3543993
13.905111,-1.3043016
15.134458,-1.2535542
15.458279,-1.2034535
14.73222,-1.1523962
14.323276,-1.1045277
14.484394,-1.0772914
15.389826,-1.0765731
14.120806,-1.0771036
14.081132,-1.0785341
14.783814,-1.077947
