Axial Force,Axial Displacement
N,mm
20.057428,-0.02361238
3.9611011,-0.074672699
-12.646523,-0.12258291
-29.627699,-0.17302334
-44.228321,-0.22358596
-59.978199,-0.27445257
-75.85231,-0.32312274
-86.007729,-0.37539601
-102.81895,-0.424698
-116.17206,-0.47575533
-130.00993,-0.52418113
-144.78481,-0.5762279
-156.89172,-0.62598586
-170.20247,-0.6747216
-181.49773,-0.72467327
-194.38127,-0.7758379
-208.14189,-0.82434118
-217.04906,-0.87480545
-229.91928,-0.9254843
-240.55112,-0.97387731
-250.1246,-1.0231733
-262.13373,-1.0727108
-270.36908,-1.1255115
-284.65366,-1.1734247
-292.8364,-1.2254447
-302.97083,-1.2743026
-313.92975,-1.3229966
-321.63892,-1.3757616
-333.75998,-1.4235169
-341.66516,-1.4734
-351.39133,-1.5222251
-360.94354,-1.5732557
-369.42712,-1.6251922
-380.36771,-1.6761541
-385.33151,-1.7234236
-395.10272,-1.7726988
-405.56091,-1.8239349
-411.98297,-1.8757075
-422.99026,-1.9251227
-428.12936,-1.972872
-438.8959,-2.0223708
-445.07806,-2.0735919
-453.33942,-2.1236658
-462.5766,-2.1726818
-468.18262,-2.2215009
-476.64508,-2.2736967
-484.13403,-2.3218215
-490.04547,-2.3744612
-499.72934,-2.4229348
-505.49191,-2.4714441
-515.49817,-2.5218487
-521.26483,-2.5730073
-528.20789,-2.6225061
-537.11072,-2.6722848
-543.30243,-2.7213097
-550.05988,-2.773267
-556.37646,-2.8206377
-563.93903,-2.8718204
-571.32086,-2.921042
-576.83661,-2.9716997
-586.22369,-3.0206709
-590.6626,-3.0704498
-599.03931,-3.1217873
-606.23169,-3.1709762
-611.75427,-3.2220988
-620.35236,-3.2692165
-625.31543,-3.319329
-632.07977,-3.3697784
-640.55066,-3.4192533
-645.98389,-3.4687936
-654.13812,-3.5206318
-660.09839,-3.5693228
-666.5722,-3.6173315
-674.14972,-3.6668272
-680.18689,-3.719002
-687.11279,-3.7685246
-692.95551,-3.8182974
-700.47687,-3.8686097
-707.22253,-3.9180279
-712.92993,-3.9700568
-721.09509,-4.0166559
-727.15149,-4.0682135
-735.87805,-4.1178436
-741.10907,-4.1661739
-747.59735,-4.2199702
-755.98999,-4.2652636
-760.90033,-4.3162675
-770.57007,-4.3659449
-775.96161,-4.4158878
-783.12726,-4.4662685
-791.25153,-4.5159788
-794.82855,-4.5666008
-805.92358,-4.6156855
-811.52808,-4.6657085
-820.00372,-4.7154455
-827.28296,-4.7646613
-833.09985,-4.8143206
-842.62994,-4.8661561
-846.48383,-4.9144416
-855.78827,-4.9670639
-859.16266,-5.0071745
-823.93329,-4.9620271
-798.47247,-4.909873
-775.60687,-4.8601809
-757.0611,-4.8105092
-739.33545,-4.7606201
-720.89661,-4.7084599
-707.25507,-4.6592293
-688.51917,-4.6086459
-676.09625,-4.5573206
-663.25,-4.509902
-649.18933,-4.458827
-638.93433,-4.4075875
-624.26904,-4.357347
-613.64185,-4.3083849
-599.41748,-4.2563109
-587.72913,-4.2076082
-577.70746,-4.1552277
-565.81012,-4.1060896
-556.83484,-4.0564685
-545.04138,-4.0053339
-536.03357,-3.957206
-526.09131,-3.9058745
-514.69281,-3.8555174
-506.34671,-3.8043709
-494.50793,-3.7523298
-487.15729,-3.7039399
-477.19153,-3.6544771
-466.93576,-3.6057949
-458.76645,-3.5547554
-448.73108,-3.5051882
-441.95114,-3.45684
-432.24088,-3.4054847
-421.9043,-3.3559799
-415.6629,-3.3054948
-404.25635,-3.2549977
-397.9682,-3.2048554
-389.33908,-3.1530471
-381.49225,-3.1015158
-373.84076,-3.053683
-363.55966,-3.0052423
-357.94424,-2.9543817
-348.42169,-2.9054136
-339.98312,-2.8548388
-334.30325,-2.8045714
-323.18738,-2.7547419
-317.00021,-2.7034402
-308.81183,-2.6558847
-300.70078,-2.6049881
-293.10965,-2.5558352
-284.57568,-2.5049539
-278.02478,-2.4553151
-267.60526,-2.4043112
-261.4921,-2.3530393
-255.5305,-2.3045182
-245.66739,-2.2549331
-239.37994,-2.2062659
-229.96097,-2.1541834
-223.27672,-2.1042228
-215.87787,-2.055934
-206.61676,-2.0039976
-199.23253,-1.9562244
-190.78114,-1.9069076
-184.19427,-1.8555999
-176.01939,-1.804927
-166.13379,-1.7561823
-159.93044,-1.7046303
-151.46992,-1.6567826
-144.15625,-1.6070038
-135.131,-1.555714
-127.65098,-1.5062571
-120.80213,-1.455453
-109.64162,-1.4053762
-104.75321,-1.354745
-94.558952,-1.306653
-87.337379,-1.2579679
-79.426262,-1.2067854
-69.243462,-1.1556327
-62.246529,-1.1076778
-52.89996,-1.056993
-46.361702,-1.0062397
-39.033031,-0.95686018
-29.867609,-0.9067595
-24.144911,-0.85744858
-14.065672,-0.80858767
-7.6873226,-0.7576257
-0.17778948,-0.70697963
7.843133,-0.65788031
14.460925,-0.6100744
19.208063,-0.55851042
19.003078,-0.50880611
17.74188,-0.45742691
20.035728,-0.40764809
16.91291,-0.35818815
19.902178,-0.30865371
18.845125,-0.25865138
17.219875,-0.21043122
19.206572,-0.15918911
17.123577,-0.10710955
18.985476,-0.058558583
19.495655,-0.010612607
